technique_id,name,weight,source,covering_subs_count,covering_subs,residual_priority
T1083,File and Directory Discovery,0.04,DBIR 2026 p.40 — reconnaissance in System Intrusion pattern (60% of all breaches),0,,0.04
T1657,Financial Theft,0.05,DBIR 2026 p.97 — Financial motive in 100% of SMB breaches,1,PR.AA-05,0.025
T1486,Data Encrypted for Impact (Ransomware),0.48,DBIR 2026 p.41 — 48% of 2025 breaches had Ransomware action; p.98 states 96% of ransomware victims are SMBs; Ransomware is #1 action variety in SMB breaches,26,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-06;DE.CM-09;ID.IM-01;ID.IM-02;ID.IM-03;ID.IM-04;ID.RA-01;ID.RA-09;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.DS-11;PR.IR-01;PR.IR-02;PR.IR-04;PR.PS-01;PR.PS-02;RC.CO-04;RC.RP-01;RC.RP-02;RC.RP-03;RC.RP-05,0.0178
T1078,Valid Accounts (use of stolen credentials),0.38,DBIR 2026 p.98 — compromised credentials involved in 38% of SMB Ransomware cases,34,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-05;GV.SC-06;GV.SC-07;GV.SC-08;GV.SC-09;GV.SC-10;ID.AM-03;ID.AM-08;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-08;ID.RA-09;PR.AA-01;PR.AA-02;PR.AA-03;PR.AA-04;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.IR-03;PR.PS-01;PR.PS-06,0.0109
T1190,Exploit Public-Facing Application,0.29,DBIR 2026 p.98 — unpatched edge-device vulnerabilities involved in 29% of SMB ransomware compromises; corroborated by p.97 Exploit-vulnerabilities 26% initial access,32,DE.AE-02;DE.AE-03;DE.AE-06;DE.AE-07;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-01;ID.AM-02;ID.AM-03;ID.AM-08;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-08;ID.RA-09;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.IR-03;PR.PS-01;PR.PS-02;PR.PS-06,0.0088
T1133,"External Remote Services (VPN, RDP)",0.16,DBIR 2026 p.40 — VPN steady around 16% as initial access vector in System Intrusion pattern,25,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-01;ID.AM-02;ID.AM-03;ID.AM-04;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-08;ID.RA-09;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.0062
T1490,Inhibit System Recovery,0.15,DBIR 2026 p.41 — pre-encryption behaviour typically bundled with Ransomware; scaled proportionally to T1486,28,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-03;DE.CM-06;DE.CM-09;ID.IM-01;ID.IM-02;ID.IM-03;ID.IM-04;ID.RA-01;ID.RA-09;PR.AA-01;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.DS-11;PR.IR-01;PR.IR-02;PR.IR-04;PR.PS-01;PR.PS-02;RC.CO-04;RC.RP-01;RC.RP-02;RC.RP-03;RC.RP-05,0.0052
T1567.002,Exfiltration to Cloud Storage,0.05,DBIR 2026 p.97 — Internal (97%) and Credentials (31%) data compromised in SMB breaches,9,DE.CM-01;DE.CM-09;ID.AM-02;ID.AM-03;ID.AM-04;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01,0.005
T1566,Phishing,0.09,DBIR 2026 p.97 — Phishing 9% initial access; Social Engineering is a top-3 SMB pattern,23,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-10;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-08;PR.AA-01;PR.AA-03;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.0038
T1219,Remote Access Software (RMM abuse),0.08,DBIR 2026 p.41 — 240% YoY growth in threat-actor use of legitimate RMM software,21,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-09;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01;PR.PS-02,0.0036
T1489,Service Stop,0.08,DBIR 2026 p.41 — commonly observed alongside Ransomware in System Intrusion breaches,21,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-03;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0036
T1110.003,Brute Force — Password Spraying,0.07,DBIR 2026 p.97 — Credential abuse 13% initial access; distributed with T1110.004,22,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-02;ID.AM-04;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.003
T1078.004,Valid Accounts — Cloud Accounts,0.1,DBIR 2026 p.97 — Credentials data compromised in 31% of SMB breaches; cloud accounts estimated ~1/3 share of Valid Accounts,34,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;GV.SC-05;GV.SC-06;GV.SC-07;GV.SC-08;GV.SC-09;GV.SC-10;ID.AM-02;ID.AM-04;ID.AM-08;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;ID.RA-09;PR.AA-01;PR.AA-02;PR.AA-03;PR.AA-04;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.IR-03;PR.PS-01;PR.PS-06,0.0029
T1110.004,Brute Force — Credential Stuffing,0.06,DBIR 2026 p.97 — Credential abuse 13% initial access; distributed with T1110.003,22,DE.AE-02;DE.AE-03;DE.CM-01;DE.CM-02;DE.CM-03;DE.CM-06;DE.CM-09;ID.AM-02;ID.AM-04;ID.IM-01;ID.IM-02;ID.IM-03;ID.RA-01;ID.RA-07;PR.AA-01;PR.AA-03;PR.AA-05;PR.DS-01;PR.DS-02;PR.DS-10;PR.IR-01;PR.PS-01,0.0026
