function_code,function,category_code,category,subcategory,raw_coverage,weighted_coverage,unique_coverage,techniques_covered,greedy_rank,marginal_at_rank
PR,PROTECT,PR.DS,Data Security,PR.DS-01,28,2.68,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002;T1567.002,1,2.68
PR,PROTECT,PR.DS,Data Security,PR.DS-02,28,2.68,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002;T1567.002,2,0.0
PR,PROTECT,PR.DS,Data Security,PR.DS-10,28,2.68,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002;T1567.002,3,0.0
DE,DETECT,DE.CM,Continuous Monitoring,DE.CM-01,28,2.68,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002;T1567.002,4,0.0
DE,DETECT,DE.CM,Continuous Monitoring,DE.CM-09,28,2.68,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002;T1567.002,5,0.0
PR,PROTECT,PR.IR,Technology Infrastructure Resilience,PR.IR-01,28,2.68,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002;T1567.002,6,0.0
ID,IDENTIFY,ID.RA,Risk Assessment,ID.RA-01,27,2.63,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002,7,0.0
DE,DETECT,DE.AE,Adverse Event Analysis,DE.AE-03,27,2.63,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002,8,0.0
ID,IDENTIFY,ID.IM,Improvement,ID.IM-03,27,2.63,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002,9,0.0
ID,IDENTIFY,ID.IM,Improvement,ID.IM-02,27,2.63,0.0,T1003;T1021.001;T1041;T1046;T1053.005;T1059.001;T1059.003;T1071.001;T1078;T1078.004;T1098;T1105;T1110.003;T1110.004;T1133;T1136.001;T1189;T1190;T1204.002;T1219;T1486;T1489;T1490;T1552;T1566;T1566.001;T1566.002,10,0.0
